Sex,Lifestage,with pup,Behaviour,perc_time,min_per_day,MR
F,pup,no,rest,0.386,555.84,0.345
F,pup,no,forage,0.203,292.68,0.702
F,pup,no,activity,0.411,591.48,0.505
F,juvenile,no,rest,0.305,439.2,0.261
F,juvenile,no,forage,0.414,596.16,0.463
F,juvenile,no,activity,0.281,404.64,0.504
F,adult,no,rest,0.516,743.04,0.271
F,adult,no,forage,0.397,571.68,0.473
F,adult,no,activity,0.087,125.28,0.497
F,adult,yes,rest,0.505,725.76,0.279
F,adult,yes,forage,0.432,621.792,0.579
F,adult,yes,activity,0.064,92.448,0.607
M,adult,no,rest,0.4,576,0.267
M,adult,no,activity,0.24,345.6,0.558
M,adult,no,forage,0.36,518.4,0.434
M,subadult,no,rest,0.345,496.08,0.271
M,subadult,no,activity,0.269,386.64,0.517
M,subadult,no,forage,0.387,557.28,0.448
M,juvenile,no,rest,0.305,439.2,0.261
M,juvenile,no,forage,0.414,596.16,0.463
M,juvenile,no,activity,0.281,404.64,0.504
M,pup,no,rest,0.386,555.84,0.345
M,pup,no,forage,0.203,292.68,0.702
M,pup,no,activity,0.411,591.48,0.505