Sex,with.pup,Lifestage,Age,Parameter,Mean,Std.dev
F,no,adult,2,MR_active,24.74364139,5.377077353
F,no,adult,2,MR_forage,23.55081748,6.262029243
F,no,adult,2,MR_rest,13.54446572,1.803975774
F,no,adult,2,act_budg_active,8.715113559,3.796205252
F,no,adult,2,act_budg_forage,39.71442683,6.498787121
F,no,adult,2,act_budg_rest,51.60049391,4.968998855
F,no,adult,2,growth,38.31701122,7.656165148
F,no,adult,2,mass,18.37702494,0.535127892
F,no,adult,3,growth,20.23635931,3.752801015
F,no,adult,3,mass,19.68908305,0.284704692
F,no,adult,4,growth,11.12398829,1.92962707
F,no,adult,4,mass,20.40078464,0.157572383
F,no,adult,5,growth,6.39120397,1.013013075
F,no,adult,5,mass,20.80051582,0.090527128
F,no,adult,6,growth,3.886600425,0.561979078
F,no,adult,6,mass,21.04111131,0.055214533
F,no,adult,7,growth,2.467497551,0.31603462
F,no,adult,7,mass,21.18021113,0.035423799
F,no,adult,8,growth,1.653330145,0.188940769
F,no,adult,8,mass,21.28019762,0.023880299
F,no,adult,9,growth,1.160753543,0.117029911
F,no,adult,9,mass,21.34022684,0.017186024
F,no,adult,10,growth,0.851148821,0.074868205
F,no,adult,10,mass,21.38992998,0.012095754
F,no,adult,11,growth,0.639664072,0.050677508
F,no,adult,11,mass,21.43002641,0.009037144
F,no,adult,12,growth,0.500520583,0.034973808
F,no,adult,12,mass,21.45003471,0.007043891
F,no,adult,13,growth,0.399652088,0.026100957
F,no,adult,13,mass,21.46999777,0.006088291
F,no,adult,14,growth,0.329792425,0.019262131
F,no,adult,14,mass,21.48999907,0.004973029
F,no,adult,15,growth,0.269843143,0.01460943
F,no,adult,15,mass,21.51002772,0.004017568
F,no,adult,16,growth,0.230020182,0.011846698
F,no,adult,16,mass,21.52002829,0.002979349
F,no,adult,17,growth,0.199884395,0.008944946
F,no,adult,17,mass,21.52991555,0.003014644
F,no,adult,18,growth,0.170028972,0.008074948
F,no,adult,18,mass,21.5399699,0.002005129
F,no,adult,19,growth,0.144510404,0.005959985
F,no,adult,19,mass,21.54000008,0.002005428
F,no,juvenile,1,growth,75.48623491,15.71274559
F,no,juvenile,1,mass,15.81625465,1.051310663
F,no,pup,0,growth,107.8808121,29.37585494
F,no,pup,0,mass,10.66750114,2.138984714
F,yes,adult,2,MR_rest,14.05902426,2.552693859
F,yes,adult,2,act_budg_active,6.44129451,1.682517268
F,yes,adult,2,act_budg_forage,44.77974968,7.887576553
F,yes,adult,2,act_budg_rest,52.04135534,11.0045381
F,yes,adult,2,growth,38.37036548,7.619084784
F,yes,adult,2,mass,18.38250131,0.53281294
F,yes,adult,3,growth,20.21265324,3.763226333
F,yes,adult,3,mass,19.69842436,0.280510296
F,yes,adult,4,growth,11.12451431,1.924312526
F,yes,adult,4,mass,20.39987462,0.155895767
F,yes,adult,5,growth,6.425090402,1.013838851
F,yes,adult,5,mass,20.79816861,0.090937903
F,yes,adult,6,growth,3.875085607,0.558162118
F,yes,adult,6,mass,21.04006508,0.054202374
F,yes,adult,7,growth,2.469149453,0.31945433
F,yes,adult,7,mass,21.18021023,0.035222817
F,yes,adult,8,growth,1.648865848,0.187471282
F,yes,adult,8,mass,21.27998696,0.023850456
F,yes,adult,9,growth,1.160008292,0.117157882
F,yes,adult,9,mass,21.33979744,0.01702402
F,yes,adult,10,growth,0.848905919,0.074757261
F,yes,adult,10,mass,21.39007999,0.012022
F,yes,adult,11,growth,0.639814069,0.050132263
F,yes,adult,11,mass,21.42988168,0.00893324
F,yes,adult,12,growth,0.499982546,0.035232111
F,yes,adult,12,mass,21.44999788,0.006932743
F,yes,adult,13,growth,0.400279422,0.026215591
F,yes,adult,13,mass,21.46993891,0.006048827
F,yes,adult,14,growth,0.329821458,0.019170635
F,yes,adult,14,mass,21.48999624,0.004998409
F,yes,adult,15,growth,0.269954159,0.014618725
F,yes,adult,15,mass,21.5099933,0.003977996
F,yes,adult,16,growth,0.22984125,0.012043916
F,yes,adult,16,mass,21.51999772,0.003008172
F,yes,adult,17,growth,0.199861501,0.008940476
F,yes,adult,17,mass,21.52999286,0.003006928
F,yes,adult,18,growth,0.170149516,0.008004889
F,yes,adult,18,mass,21.5400066,0.002023379
F,yes,adult,19,growth,0.144542572,0.005994174
F,yes,adult,19,mass,21.54000125,0.00197489
j,no,juvenile,1,MR_active,1.206655075,0.751684644
j,no,juvenile,1,MR_forage,3.990316719,1.789052274
j,no,juvenile,1,MR_rest,1.66706414,0.972963675
j,no,juvenile,1,act_budg_active1,7.013507795,5.218517125
j,no,juvenile,1,act_budg_active2,15.89344967,7.497073952
j,no,juvenile,1,act_budg_active3,5.029868917,5.025110494
j,no,juvenile,1,act_budg_forage,41.52691237,17.38561232
j,no,juvenile,1,act_budg_rest1,29.02279041,16.40259665
j,no,juvenile,1,act_budg_rest2,1.564044018,2.593902966
M,no,adult,3,MR_active,27.8382023,2.950645572
M,no,adult,3,MR_forage,21.59448105,1.683377169
M,no,adult,3,MR_rest,13.29273705,0.904682319
M,no,adult,3,act_budg_active1,8.363209614,6.777304241
M,no,adult,3,act_budg_active2,8.974062142,1.89975523
M,no,adult,3,act_budg_active3,7.219589717,5.723164372
M,no,adult,3,act_budg_forage,35.83006234,7.374439976
M,no,adult,3,act_budg_rest,39.6755423,7.806807123
M,no,adult,3,growth,38.98463543,5.590103654
M,no,adult,3,mass,25.6331838,0.550407923
M,no,adult,4,growth,24.24037954,3.433443717
M,no,adult,4,mass,27.09088518,0.247132423
M,no,adult,5,growth,15.17860988,2.116593861
M,no,adult,5,mass,27.99731021,0.214806431
M,no,adult,6,growth,9.618684965,1.343981119
M,no,adult,6,mass,28.58236998,0.135614252
M,no,adult,7,growth,6.089640963,0.833634684
M,no,adult,7,mass,28.9390395,0.087549923
M,no,adult,8,growth,3.889902354,0.518580791
M,no,adult,8,mass,29.16997425,0.054379058
M,no,adult,9,growth,2.495465468,0.330420214
M,no,adult,9,mass,29.32013247,0.03604177
M,no,adult,10,growth,1.611648104,0.212807606
M,no,adult,10,mass,29.41018811,0.023216392
M,no,adult,11,growth,1.04048946,0.135248483
M,no,adult,11,mass,29.46997303,0.015130842
M,no,adult,12,growth,0.67765871,0.086751769
M,no,adult,12,mass,29.51012919,0.009557918
M,no,adult,13,growth,0.450035994,0.567604362
M,no,adult,13,mass,29.54001558,0.00595681
M,no,adult,14,growth,0.289171242,0.036858567
M,no,adult,14,mass,29.5599673,0.003998022
M,no,adult,15,growth,0.18996812,0.023730608
M,no,adult,15,mass,29.56994494,0.003029469
M,no,adult,16,growth,0.130050041,0.016024498
M,no,adult,16,mass,29.5800452,0.002001227
M,no,adult,17,growth,0.090133781,0.010474869
M,no,adult,17,mass,29.58001156,0.000990294
M,no,adult,18,growth,0.05991227,0.007012931
M,no,adult,18,mass,29.58000466,0.001000497
M,no,adult,19,growth,0.039939612,0.005024902
M,no,adult,19,mass,29.59000006,0.000502655
M,no,juvenile,1,growth,102.5568327,15.17396505
M,no,juvenile,1,mass,19.47834429,1.451093554
M,no,pup,0,growth,124.8637358,22.18965076
M,no,pup,0,mass,13.25812381,2.35371849
M,no,subadult,2,growth,63.87296556,9.171252273
M,no,subadult,2,mass,23.29890712,0.908254325
p,no,pup,0,MR_active,0.859459559,0.819537534
p,no,pup,0,MR_forage,1.540163077,1.869364252
p,no,pup,0,MR_rest,1.222801754,1.012945302
p,no,pup,0,act_budg_active1,5.938205399,6.150414446
p,no,pup,0,act_budg_active2,8.143430382,11.62067479
p,no,pup,0,act_budg_active3,1.404272364,2.794271579
p,no,pup,0,act_budg_forage,20.35637707,22.34314352
p,no,pup,0,act_budg_rest1,9.447102216,16.93585874
p,no,pup,0,act_budg_rest2,29.30770934,21.76717882
p,no,pup,0,act_budg_rest3,5.515273175,8.512165052
p,no,pup,0,act_budg_rest4,8.475712143,10.06391243
p,no,pup,0,act_budg_rest5,8.58158952,10.37276987
p,no,pup,0,act_budg_rest6,2.967446036,3.767696928