"total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
7567.8562592,"F",0,"pup","no",0,107.918,0.155,223.2,2380.910112,0.203,7.51842,292.32,3.11661,2197.7845344,0.642,924.48,2881.2436128
9347.0632448,"M",0,"pup","no",0,124.88,0.155,223.2,2943.347328,0.203,9.29448,292.32,3.85284,2716.9623936,0.642,924.48,3561.8735232
9487.9648272,"F",1,"juvenile","no",0,75.576,0.281,404.64,3228.3474048,0.414,7.32929,596.16,4.13163,4369.4295264,0.305,439.2,1814.611896
11679.1631248,"M",1,"juvenile","no",0,102.46,0.281,404.64,3970.6837632,0.414,9.01461,596.16,5.08167,5374.1498976,0.305,439.2,2231.869464
9853.8389232,"F",2,"adult","no",0,38.319,0.087,125.28,1144.4152608,0.397,8.69374,571.68,4.98098,4970.0372832,0.516,743.04,3701.0673792
15339.4163824,"F",2,"adult","yes",3931,38.319,0.064,92.16,1028.1977856,0.432,10.64202,622.08,5.12802,6620.1878016,0.504,725.76,3721.7117952
13637.352064,"M",2,"subadult","no",0,63.976,0.261,375.84,4646.0138112,0.387,10.42944,557.28,6.14592,5812.1183232,0.352,506.88,3115.2439296
10739.7253462517,"F",3,"adult","no",0,20.203,0.087,125.28,1225.9813104,0.432691359752541,9.31337,623.075558043659,5.33599,5802.93321001707,0.480308640247459,691.644441956341,3690.60782583462
16381.2692179763,"F",3,"adult","yes",3931,20.203,0.064,92.16,1101.4806528,0.461342127839889,11.40051,664.33266408944,5.49351,7573.7311802783,0.474657872160111,683.50733591056,3754.85438489802
14689.617112,"M",3,"adult","no",0,38.935,0.24,345.6,4942.612224,0.36,11.12342,518.4,6.84321,5766.380928,0.4,576,3941.68896
11235.7623224824,"F",4,"adult","no",0,11.117,0.087,125.28,1270.188864,0.452676127222197,9.6492,651.853623199963,5.5284,6289.86598098109,0.460323872777803,662.866376800037,3664.59047750132
16965.3678656792,"F",4,"adult","yes",3931,11.117,0.064,92.16,1141.198848,0.47779206082961,11.8116,688.020567594638,5.6916,8126.62373620082,0.45820793917039,659.819432405362,3755.42828147836
15665.2721063151,"M",4,"adult","no",0,24.254,0.24,345.6,5224.165632,0.383910480121806,11.75706,552.831091375401,7.23303,6499.66831116607,0.376089519878194,541.568908624599,3917.18416314898
11520.5674813083,"F",5,"adult","no",0,6.407,0.087,125.28,1295.094528,0.464150604218939,9.8384,668.376870075273,5.6368,6575.75899854856,0.448849395781061,646.343129924727,3643.3069547597
17300.9334439736,"F",5,"adult","yes",3931,6.407,0.064,92.16,1163.575296,0.487242483526266,12.0432,701.629176277823,5.8032,8449.86049574908,0.448757516473734,646.210823722177,3750.09065222454
16283.6822475586,"M",5,"adult","no",0,15.207,0.24,345.6,5399.6544,0.399065922850522,12.152,574.654928904752,7.476,6983.20669605055,0.360934077149478,519.745071095248,3885.61415150807
11693.5459012653,"F",6,"adult","no",0,3.878,0.087,125.28,1310.0379264,0.471119708672356,9.95192,678.412380488193,5.70184,6751.50573762806,0.441880291327644,636.307619511807,3628.1242372372
17504.7786384467,"F",6,"adult","yes",3931,3.878,0.064,92.16,1177.0011648,0.492983274719968,12.18216,709.895915596754,5.87016,8648.06562714616,0.443016725280032,637.944084403246,3744.83384650056
16682.1790326846,"M",6,"adult","no",0,9.593,0.24,345.6,5511.504384,0.408831925704889,12.40372,588.717973015039,7.63086,7302.2928962461,0.351168074295112,505.682026984961,3858.78875243846
11795.1344910618,"F",7,"adult","no",0,2.468,0.087,125.28,1318.7549088,0.475212597795424,10.01814,684.306140825411,5.73978,6855.47472164868,0.437787402204576,630.413859174589,3618.43686061312
17624.5166671806,"F",7,"adult","yes",3931,2.468,0.064,92.16,1184.8329216,0.496355386456106,12.26322,714.751756496793,5.90922,8765.1580353066,0.439644613543894,633.088243503207,3741.05771027402
16931.1492178009,"M",7,"adult","no",0,6.088,0.24,345.6,5580.928512,0.414933464360289,12.55996,597.504188678816,7.72698,7504.62870963838,0.345066535639711,496.895811321184,3839.50399616257
11868.2229860368,"F",8,"adult","no",0,1.651,0.087,125.28,1324.9813248,0.478157250405561,10.06544,688.546440584008,5.76688,6930.5228849119,0.434842749594439,626.173559415992,3611.06777632489
17710.6372690523,"F",8,"adult","yes",3931,1.651,0.064,92.16,1190.4270336,0.498780742508648,12.32112,718.244269212453,5.93712,8849.57383027894,0.437219257491352,629.595730787547,3737.98540517336
17090.9252576899,"M",8,"adult","no",0,3.885,0.24,345.6,5625.282816,0.418849112666264,12.65978,603.14272223942,7.78839,7635.65417215216,0.341150887333736,491.257277760581,3826.10326953773
11912.1806658546,"F",9,"adult","no",0,1.157,0.087,125.28,1328.7171744,0.479928255495422,10.09382,691.096687913408,5.78314,6975.80557039411,0.433071744504578,623.623312086592,3606.50092106045
17762.4403322535,"F",9,"adult","yes",3931,1.157,0.064,92.16,1193.7835008,0.500239635297722,12.35586,720.345074828719,5.95386,8900.48289627318,0.435760364702278,627.494925171281,3736.01693518028
17195.4632168614,"M",9,"adult","no",0,2.493,0.24,345.6,5654.209536,0.421411035486634,12.72488,606.831891100753,7.82844,7721.86299443015,0.338588964513366,487.568108899247,3816.89768643122
11949.0094281221,"F",10,"adult","no",0,0.846,0.087,125.28,1331.8303824,0.481412044578456,10.11747,693.233344192977,5.79669,7013.76756287212,0.431587955421543,621.486655807023,3602.56548285001
17805.8236905192,"F",10,"adult","yes",3931,0.846,0.064,92.16,1196.5805568,0.501461407125949,12.38481,722.104426261366,5.96781,8943.12611940603,0.434538592874051,625.735573738634,3734.27101431316
17258.2330691756,"M",10,"adult","no",0,1.608,0.24,345.6,5671.565568,0.42294934289525,12.76394,609.04705376916,7.85247,7773.84005148634,0.33705065710475,485.35294623084,3811.21944968928
11978.5724243543,"F",11,"adult","no",0,0.641,0.087,125.28,1334.3209488,0.482603104184325,10.13639,694.948470025428,5.80753,7044.26872208105,0.430396895815675,619.771529974572,3599.34175347323
17840.6410098316,"F",11,"adult","yes",3931,0.641,0.064,92.16,1198.8182016,0.502441938809349,12.40797,723.516391885463,5.97897,8977.36968502307,0.433558061190651,624.323608114537,3732.81212320857
17300.1546606884,"M",11,"adult","no",0,1.043,0.24,345.6,5683.136256,0.423976719771689,12.78998,610.526476471231,7.86849,7808.62142353752,0.336023280228311,483.873523528769,3807.35398115088
11993.31771419,"F",12,"adult","no",0,0.501,0.087,125.28,1335.566232,0.483197175196691,10.14585,695.803932283235,5.81295,7059.52232635586,0.429802824803309,618.916067716765,3597.72815583417
17858.0161282185,"F",12,"adult","yes",3931,0.501,0.064,92.16,1199.937024,0.502931260491506,12.41955,724.221015107769,5.98455,8994.4991081817,0.433068739508494,623.618984892231,3732.0789960368
17328.1376602997,"M",12,"adult","no",0,0.679,0.24,345.6,5690.850048,0.424662502102382,12.80734,611.51400302743,7.87917,7831.86775153333,0.335337497897618,482.88599697257,3804.74086076636
12008.1270244542,"F",13,"adult","no",0,0.402,0.087,125.28,1336.8115152,0.483793825519543,10.15531,696.663108748142,5.81837,7074.8298349011,0.429206174480457,618.056891251858,3596.08367435307
17875.458176454,"F",13,"adult","yes",3931,0.402,0.064,92.16,1201.0558464,0.503422466194648,12.43113,724.928351320293,5.99013,9011.67857594823,0.432577533805352,622.911648679707,3731.32175410577
17349.1826140148,"M",13,"adult","no",0,0.445,0.24,345.6,5696.635392,0.425178253008595,12.82036,612.256684332377,7.88718,7849.35110554744,0.334821746991405,482.143315667623,3802.75111646736
12022.9803659641,"F",14,"adult","no",0,0.329,0.087,125.28,1338.0567984,0.484392249811376,10.16477,697.524839728381,5.82379,7090.17956512585,0.428607750188624,617.195160271619,3594.41500243825
17892.9469139341,"F",14,"adult","yes",3931,0.329,0.064,92.16,1202.1746688,0.503914986162176,12.44271,725.637580073533,5.99571,9028.89797395675,0.432085013837824,622.202419926467,3730.54527117732
17363.2212224822,"M",14,"adult","no",0,0.292,0.24,345.6,5700.492288,0.425522298670898,12.82904,612.752110086092,7.89252,7861.02133037888,0.334477701329102,481.647889913908,3801.41560410331
12037.8657467344,"F",15,"adult","no",0,0.273,0.087,125.28,1339.3020816,0.484991964928689,10.17423,698.388429497312,5.82921,7105.56451104443,0.428008035071311,616.331570502688,3592.72615408998
17910.4701987498,"F",15,"adult","yes",3931,0.273,0.064,92.16,1203.2934912,0.504408478609198,12.45429,726.348209197246,6.00129,9046.15123832316,0.431591521390802,621.491790802754,3729.75246922666
17370.2147810664,"M",15,"adult","no",0,0.193,0.24,345.6,5702.420736,0.425693690550693,12.83338,612.998914392998,7.89519,7866.84800799281,0.334306309449307,481.401085607002,3800.75303707355
12045.2918774974,"F",16,"adult","no",0,0.23,0.087,125.28,1339.9247232,0.485291155318941,10.17896,698.819263659274,5.83192,7113.25333201721,0.427708844681059,615.900736340726,3591.8838222802
17919.2158557112,"F",16,"adult","yes",3931,0.23,0.064,92.16,1203.8529024,0.50465477485535,12.46008,726.702875791704,6.00408,9054.77596859469,0.43134522514465,621.137124208296,3729.35698471655
17377.2505166414,"M",16,"adult","no",0,0.128,0.24,345.6,5704.349184,0.425866116066464,12.83772,613.247207135708,7.89786,7872.69593599022,0.334133883933536,481.152792864292,3800.07739665118
12052.7310358978,"F",17,"adult","no",0,0.195,0.087,125.28,1340.5473648,0.485590870577933,10.18369,699.250853632224,5.83463,7120.95392562594,0.427409129422067,615.469146367776,3591.03474547182
17927.9752328004,"F",17,"adult","yes",3931,0.195,0.064,92.16,1204.4123136,0.504901457311975,12.46587,727.058098529244,6.00687,9063.41173871275,0.431098542688025,620.781901470756,3728.95618048764
17377.1984377989,"M",17,"adult","no",0,0.085,0.24,345.6,5704.349184,0.425864839764764,12.83772,613.24536926126,7.89786,7872.67234187266,0.334135160235236,481.15463073874,3800.09191192627
12060.1832280623,"F",18,"adult","no",0,0.168,0.087,125.28,1341.1700064,0.485891110952509,10.18842,699.683199771613,5.83734,7128.6663062171,0.427108889047491,615.036800228387,3590.17891544517
17936.7483367989,"F",18,"adult","yes",3931,0.168,0.064,92.16,1204.9717248,0.505148526169972,12.47166,727.41387768476,6.00966,9072.05856176591,0.430851473830028,620.42612231524,3728.55005023301
17377.1645259945,"M",18,"adult","no",0,0.057,0.24,345.6,5704.349184,0.425864008684587,12.83772,613.244172505806,7.89786,7872.65697826123,0.334135991315413,481.155827494194,3800.1013637333
12060.1524616255,"F",19,"adult","no",0,0.145,0.087,125.28,1341.1700064,0.485889871407649,10.18842,699.681414827015,5.83734,7128.64812045185,0.427110128592351,615.038585172985,3590.18933477367
17936.717174186,"F",19,"adult","yes",3931,0.145,0.064,92.16,1204.9717248,0.505147648967679,12.47166,727.412614513458,6.00966,9072.04280792291,0.430852351032321,620.427385486542,3728.55764146305
17384.2569761223,"M",19,"adult","no",0,0.038,0.24,345.6,5706.277632,0.426037824109899,12.84206,613.494466718254,7.90053,7878.53275126382,0.333962175890101,480.905533281746,3799.40859285843
